Entity,effect_country
Algeria,9.0906396809203045
Argentina,8.98708445773331
Australia,9.973745001522929
Austria,11.393998633191266
Azerbaijan,9.216927055270775
Bangladesh,8.79737045418511
Belarus,8.803119111143854
Belgium,4.522071875843301
Brazil,12.949582329233895
Bulgaria,6.6682711724879615
Canada,9.714042515716061
Chile,11.027869504054104
China,9.610722319500184
Colombia,9.949331518766119
Croatia,9.581785593509279
Cyprus,9.81426084697596
Czechia,7.113374690213044
Denmark,11.34286107772127
Ecuador,9.393934704126302
Egypt,9.269392004108346
Estonia,9.951796671367232
Finland,9.38492508185347
France,3.168954270998453
Germany,8.29651056666204
Greece,10.24623959039128
Hungary,5.730196555648035
Iceland,21.835856621539932
India,9.378341194323312
Indonesia,9.07713188257865
Iran,9.030107969050249
Iraq,9.105737078391323
Ireland,10.357187003541547
Israel,9.651522839427235
Italy,10.08661804604105
Japan,8.389256227241882
Kazakhstan,9.505184989847608
Kuwait,9.193644749161761
Latvia,9.232159953880794
Lithuania,4.6278775949346675
Luxembourg,7.561108092778616
Malaysia,9.617842402734738
Mexico,9.254141117795758
Morocco,8.9853171182957
Netherlands,9.367915593648231
New Zealand,12.452507708036308
North Macedonia,10.564036824109053
Norway,18.84501190630539
Oman,9.215256324984935
Pakistan,8.426077632582075
Peru,10.883458294827273
Philippines,10.302147936563427
Poland,9.840420007125456
Portugal,11.327889481165833
Qatar,9.121841093026362
Romania,8.730381183636034
Russia,7.884149294775452
Saudi Arabia,9.650271500906463
Singapore,8.968535781091845
Slovakia,4.666549746978747
Slovenia,7.438703075055015
South Africa,9.181212231714195
South Korea,6.351605501643021
Spain,8.121713373214382
Sri Lanka,9.785469964462273
Sweden,10.808719716484358
Switzerland,8.541032092266676
Thailand,9.756134433438351
Trinidad and Tobago,9.208774177502193
Turkey,10.116854074188259
Turkmenistan,9.123000701282308
Ukraine,4.977891874807019
United Arab Emirates,9.379539740703514
United Kingdom,8.176975208918794
United States,8.196282395242331
Uzbekistan,8.557777970737625
Venezuela,9.151473101787163
Vietnam,10.069262032641968
